Frame 0:
  Clase: JUGADOR, Confianza: 0.90, Coordenadas: (601.75, 338.18, 629.68, 469.19)
  Clase: JUGADOR, Confianza: 0.88, Coordenadas: (950.85, 342.23, 968.45, 427.08)
Frame 8:
  Clase: JUGADOR, Confianza: 0.94, Coordenadas: (54.01, 469.52, 111.29, 725.12)
  Clase: JUGADOR, Confianza: 0.94, Coordenadas: (954.40, 390.14, 992.59, 582.43)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (753.40, 305.99, 776.42, 409.62)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (878.82, 357.13, 906.44, 494.90)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (1177.72, 378.34, 1198.27, 491.72)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (500.05, 327.15, 525.55, 449.86)
  Clase: JUGADOR, Confianza: 0.92, Coordenadas: (658.23, 312.29, 680.64, 429.55)
  Clase: JUGADOR, Confianza: 0.92, Coordenadas: (1031.54, 316.23, 1045.26, 386.43)
  Clase: JUGADOR, Confianza: 0.91, Coordenadas: (615.89, 350.29, 644.51, 504.86)
  Clase: JUGADOR, Confianza: 0.90, Coordenadas: (879.51, 307.32, 898.63, 386.06)
  Clase: BALON, Confianza: 0.90, Coordenadas: (150.25, 649.92, 166.49, 680.48)
  Clase: JUGADOR, Confianza: 0.90, Coordenadas: (601.69, 337.96, 627.26, 468.75)
  Clase: JUGADOR, Confianza: 0.87, Coordenadas: (948.97, 343.37, 965.84, 456.68)
Frame 9:
  Clase: JUGADOR, Confianza: 0.94, Coordenadas: (954.41, 390.21, 992.59, 582.41)
  Clase: JUGADOR, Confianza: 0.94, Coordenadas: (53.91, 469.64, 111.43, 725.34)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (753.43, 306.09, 776.42, 409.56)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (1177.71, 378.35, 1198.31, 491.79)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (878.80, 357.16, 906.50, 494.87)
  Clase: JUGADOR, Confianza: 0.93, Coordenadas: (500.11, 327.12, 525.49, 449.96)
  Clase: JUGADOR, Confianza: 0.92, Coordenadas: (658.13, 312.26, 680.59, 429.51)
  Clase: JUGADOR, Confianza: 0.92, Coordenadas: (1031.54, 316.30, 1045.25, 386.36)
  Clase: JUGADOR, Confianza: 0.91, Coordenadas: (615.86, 350.32, 644.52, 504.82)
  Clase: JUGADOR, Confianza: 0.90, Coordenadas: (879.62, 307.29, 898.69, 385.90)
  Clase: BALON, Confianza: 0.90, Coordenadas: (150.24, 649.95, 166.42, 680.60)
  Clase: JUGADOR, Confianza: 0.90, Coordenadas: (601.73, 338.05, 627.21, 468.76)
  Clase: JUGADOR, Confianza: 0.87, Coordenadas: (948.98, 343.34, 965.83, 456.60)
